County,VBM,EIP,Total,D - R
ALACHUA,28581,51100,79681,21070
BAKER,1991,7179,9170,-1924
BAY,18917,43958,62875,-19480
BRADFORD,2435,4675,7110,-945
BREVARD,92078,118389,210467,-27919
BROWARD,203134,426494,629628,212077
CALHOUN,1028,2692,3720,1304
CHARLOTTE,34935,39643,74578,-14399
CITRUS,24943,29327,54270,-12186
CLAY,20136,54529,74665,-30208
COLLIER,56637,74928,131565,-39630
COLUMBIA,5838,14044,19882,-2471
DESOTO,2200,4445,6645,894
DIXIE,1932,2319,4251,101
DUVAL,74861,227368,302229,4279
ESCAMBIA,39267,56173,95440,-14751
FLAGLER,13413,29703,43116,-5193
FRANKLIN,1528,2313,3841,844
GADSDEN,4310,9626,13936,8667
GILCHRIST,1845,2412,4257,-1283
GLADES,839,863,1702,54
GULF,1456,3612,5068,-656
HAMILTON,1381,1702,3083,653
HARDEE,828,3618,4446,-879
HENDRY,1850,5809,7659,339
HERNANDO,34393,25843,60236,-6409
HIGHLANDS,11123,18996,30119,-5547
HILLSBOROUGH,190973,242167,433140,29302
HOLMES,2040,2901,4941,-1506
INDIANRIVER,22996,33134,56130,-13547
JACKSON,4167,9109,13276,2006
JEFFERSON,1311,2882,4193,1160
LAFAYETTE,620,1147,1767,353
LAKE,32344,75178,107522,-15520
LEE,157130,100893,258023,-55572
LEON,31625,67518,99143,27330
LEVY,5173,5107,10280,-2103
LIBERTY,504,1347,1851,1093
MADISON,1230,4554,5784,1590
MANATEE,68686,48610,117296,-17816
MARION,37964,66199,104163,-14244
MARTIN,30268,34037,64305,-18511
MIAMI-DADE,305137,475838,780975,114767
MONROE,14362,13323,27685,-1692
NASSAU,10207,23509,33716,-13936
OKALOOSA,23046,45151,68197,-30075
OKEECHOBEE,2557,5879,8436,-1186
ORANGE,159291,255112,414403,67155
OSCEOLA,45167,63254,108421,22625
PALMBEACH,152336,240400,392736,74728
PASCO,68047,76633,144680,-13509
PINELLAS,254453,78166,332619,752
POLK,79667,92645,172312,-1085
PUTNAM,6547,13868,20415,-177
SANTAROSA,18818,37197,56015,-24985
SARASOTA,77510,79927,157437,-16328
SEMINOLE,62699,109267,171966,-10316
STJOHNS,27176,71607,98783,-32920
STLUCIE,41014,57290,98304,9242
SUMTER,19695,45544,65239,-21573
SUWANNEE,4369,6482,10851,-873
TAYLOR,2253,3099,5352,939
UNION,1021,2317,3338,-122
VOLUSIA,75047,97940,172987,-4302
WAKULLA,3145,6824,9969,45
WALTON,7057,13439,20496,-9653
WASHINGTON,2544,3675,6219,-1488
